pdf_stem,pdf_path,collection,year,month,model_tier,decade,failure_domain,failure_stage,failure_error_type,failure_detail,grid_status,grid_error_type,grid_confidence,location_status,location_error_type,location_section,location_township,location_range,county_status,county_error_type,county_name,dot_status,dot_error_type,dot_confidence,latlong_status,latlong_error_type,resolution_source,flags
10704436_K RENTIE 2_1054798,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10704436_K RENTIE 2_1054798.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,keyword_not_found,,done,,99,skipped,,,
10705355_HARVISON 2_589617,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10705355_HARVISON 2_589617.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,91,failed,not_found,,,,failed,exception,,done,,98,skipped,,,
10705356_MULLIE 2_589597,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10705356_MULLIE 2_589597.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,failed,exception,,skipped,,,
10706558_JIM MARTIN 1_1054464,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10706558_JIM MARTIN 1_1054464.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
11100837_L SULLIVEN 1_1054811,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/11100837_L SULLIVEN 1_1054811.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,98,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
11101798_GEORGE CARR 5_1054421,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/11101798_GEORGE CARR 5_1054421.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,96,skipped,,,
11101798_GEORGE CARR 5_516619,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/11101798_GEORGE CARR 5_516619.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,96,skipped,,,
11102021_ALEXANDER 2_1054578,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/11102021_ALEXANDER 2_1054578.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,99,skipped,,,
11102652_FAGAN 7_1054800,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/11102652_FAGAN 7_1054800.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,99,skipped,,,
11103016_COLBERT 2_1054495,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/11103016_COLBERT 2_1054495.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,99,skipped,,,
11103039_COLBERT 7-80A_1054617,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/11103039_COLBERT 7-80A_1054617.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,98,skipped,,,
11103040_COLBERT 6-80A_1054462,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/11103040_COLBERT 6-80A_1054462.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,done,,98,skipped,,,
11103200_C I ARNOLD 1_516637,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/11103200_C I ARNOLD 1_516637.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
11103351_ABRAM SNAKEYA 1_516638,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/11103351_ABRAM SNAKEYA 1_516638.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,98,skipped,,,
11104314_JAMES R ADAMS 10_1054806,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/11104314_JAMES R ADAMS 10_1054806.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,98,skipped,,,
11105145_R T BELL 1_1054712,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/11105145_R T BELL 1_1054712.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
11105145_R T BELL 1_1054724,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/11105145_R T BELL 1_1054724.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
11105162_READING 1_1054747,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/11105162_READING 1_1054747.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
