pdf_stem,pdf_path,page,grid_w,grid_h,method,correct,note,grid_png
X_W R DAWSON_2455841,D:\ExportedFolderContents (1)\1911\03 - March\X_W R DAWSON_2455841.pdf,,453,443,adaptive@3x,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_W R DAWSON_2455841_grid.png
x_ANGIE L MORRISON 2_512179,D:\ExportedFolderContents (1)\1911\04 - April\x_ANGIE L MORRISON 2_512179.pdf,,277,279,canny,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\x_ANGIE L MORRISON 2_512179_grid.png
X_SANDERS_2455905,D:\ExportedFolderContents (1)\1911\10 - October\X_SANDERS_2455905.pdf,,300,304,canny,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_SANDERS_2455905_grid.png
14700960_GEO WHITETURKEY 4_512265,D:\ExportedFolderContents (1)\1911\12 - December\14700960_GEO WHITETURKEY 4_512265.pdf,,314,316,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14700960_GEO WHITETURKEY 4_512265_grid.png
14700919_SAM MAYES 1_512165,D:\ExportedFolderContents (1)\1911\02 - February\14700919_SAM MAYES 1_512165.pdf,,304,307,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14700919_SAM MAYES 1_512165_grid.png
35105780070000_LEVI KEENER 8_2455916,D:\ExportedFolderContents (1)\1911\11 - November\35105780070000_LEVI KEENER 8_2455916.pdf,,450,452,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35105780070000_LEVI KEENER 8_2455916_grid.png
OSAGE_OSAGE_2271004,D:\ExportedFolderContents (1)\1911\11 - November\OSAGE_OSAGE_2271004.pdf,,303,300,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\OSAGE_OSAGE_2271004_grid.png
14305028_ADA FOWLER 5_1400550,D:\ExportedFolderContents (1)\1911\07 - July\14305028_ADA FOWLER 5_1400550.pdf,,304,301,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14305028_ADA FOWLER 5_1400550_grid.png
x_JOSEPH GIBSON 1_512190,D:\ExportedFolderContents (1)\1911\05 - May\x_JOSEPH GIBSON 1_512190.pdf,,300,299,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\x_JOSEPH GIBSON 1_512190_grid.png
14701739_ELLA WILLIAMS 2_1401201,D:\ExportedFolderContents (1)\1911\03 - March\14701739_ELLA WILLIAMS 2_1401201.pdf,,317,319,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14701739_ELLA WILLIAMS 2_1401201_grid.png
X_RICHARD WOODWARD 120A_2356022,D:\ExportedFolderContents (1)\1911\05 - May\X_RICHARD WOODWARD 120A_2356022.pdf,,309,313,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_RICHARD WOODWARD 120A_2356022_grid.png
35147763670000_RICHARD WOLFE 4_1380761,D:\ExportedFolderContents (1)\1911\05 - May\35147763670000_RICHARD WOLFE 4_1380761.pdf,,307,307,otsu,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35147763670000_RICHARD WOLFE 4_1380761_grid.png
X_J. COLLIERS 3_2270903,D:\ExportedFolderContents (1)\1911\03 - March\X_J. COLLIERS 3_2270903.pdf,,311,301,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_J. COLLIERS 3_2270903_grid.png
14701584_LIZZIE SUNDAY 1_1401227,D:\ExportedFolderContents (1)\1911\04 - April\14701584_LIZZIE SUNDAY 1_1401227.pdf,,327,333,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14701584_LIZZIE SUNDAY 1_1401227_grid.png
X_GEORGE COCHRAN 15_2455788,D:\ExportedFolderContents (1)\1911\01 - January\X_GEORGE COCHRAN 15_2455788.pdf,,466,466,canny@3x,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_GEORGE COCHRAN 15_2455788_grid.png
X_DAWSON_2455901,D:\ExportedFolderContents (1)\1911\09 - September\X_DAWSON_2455901.pdf,,295,294,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_DAWSON_2455901_grid.png
14703267_C A LUNDAY 2_512168,D:\ExportedFolderContents (1)\1911\03 - March\14703267_C A LUNDAY 2_512168.pdf,,347,343,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14703267_C A LUNDAY 2_512168_grid.png
35147763640000_R M WOLFE 8_1380784,D:\ExportedFolderContents (1)\1911\08 - August\35147763640000_R M WOLFE 8_1380784.pdf,,308,298,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35147763640000_R M WOLFE 8_1380784_grid.png
X_ELIZA MCLAIN 1_1401377,D:\ExportedFolderContents (1)\1911\12 - December\X_ELIZA MCLAIN 1_1401377.pdf,,315,317,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_ELIZA MCLAIN 1_1401377_grid.png
11702098_JOHN R SKINNER 3_1030639,D:\ExportedFolderContents (1)\1911\10 - October\11702098_JOHN R SKINNER 3_1030639.pdf,,308,304,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\11702098_JOHN R SKINNER 3_1030639_grid.png
14701521_JOHN A BELL JR 8_512204,D:\ExportedFolderContents (1)\1911\07 - July\14701521_JOHN A BELL JR 8_512204.pdf,,299,302,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14701521_JOHN A BELL JR 8_512204_grid.png
35111018520000_JOSEPH GIBSON 2_1380806,D:\ExportedFolderContents (1)\1911\10 - October\35111018520000_JOSEPH GIBSON 2_1380806.pdf,,301,300,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35111018520000_JOSEPH GIBSON 2_1380806_grid.png
14703264_H LASLEY 3_512175,D:\ExportedFolderContents (1)\1911\04 - April\14703264_H LASLEY 3_512175.pdf,,313,316,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14703264_H LASLEY 3_512175_grid.png
